model_id,architecture_family,total_params_billions,activated_params_billions,weight_precision,precision_bits,param_count_total,param_count_active,model_type,architecture_class,num_layers,hidden_size,intermediate_size,num_attention_heads,num_key_value_heads,vocab_size,context_length,sliding_window,moe_intermediate_size,shared_expert_count,shared_expert_intermediate_size,qk_nope_head_dim,qk_rope_head_dim,v_head_dim,mamba_head_dim,mamba_num_heads,mamba_state_size,expert_count,active_expert_count,head_dim,dense_layer_count,moe_layer_count,hybrid_pattern,hybrid_mamba_layer_count,hybrid_attention_layer_count,hybrid_mlp_layer_count,attention_variant,mlp_structure,quant_method_config,runtime_dtype_config,runtime_dtype_bits,config_status,restricted_feature_reason,config_revision,config_sha256,resolved_config_status
meta-llama/Llama-3.1-405B-Instruct-FP8,dense_transformer,405.0,405.0,fp8,8,405000000000.0,405000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restricted,Meta Llama static config access rejected; benchmark public fields retained,64a54b704768dfd589a3e4ac05d546052f67f4fd,,restricted
meta-llama/Llama-3.1-70B-Instruct,dense_transformer,70.0,70.0,bfloat16,16,70000000000.0,70000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restricted,Meta Llama static config access rejected; benchmark public fields retained,1605565b47bb9346c5515c34102e054115b4f98b,,restricted
meta-llama/Llama-3.1-8B-Instruct,dense_transformer,8.0,8.0,bfloat16,16,8000000000.0,8000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restricted,Meta Llama static config access rejected; benchmark public fields retained,0e9e39f249a16976918f6564b8830bc894c89659,,restricted
meta-llama/Llama-3.3-70B-Instruct,dense_transformer,70.0,70.0,bfloat16,16,70000000000.0,70000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restricted,Meta Llama static config access rejected; benchmark public fields retained,6f6073b423013f6a7d4d9f39144961bfbfbc386b,,restricted
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,mixture_of_experts,400.0,17.0,fp8,8,400000000000.0,17000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restricted,Meta Llama static config access rejected; benchmark public fields retained,94125d2bd83076b21eed33119525e29eaf3894f4,,restricted
meta-llama/Llama-4-Scout-17B-16E-Instruct,mixture_of_experts,109.0,17.0,bfloat16,16,109000000000.0,17000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restricted,Meta Llama static config access rejected; benchmark public fields retained,92f3b1597a195b523d8d9e5700e57e4fbb8f20d3,,restricted
nvidia/NVIDIA-Nemotron-Nano-12B-v2,hybrid_mamba_transformer,12.0,12.0,bfloat16,16,12000000000.0,12000000000.0,nemotron_h,NemotronHForCausalLM,62.0,5120.0,20480.0,40.0,8.0,131072.0,131072.0,,,,,,,,80.0,128.0,128.0,,,128.0,,,M-M-M-M*-M-M-M-M*-M-M-M-M*-M-M-M-M*-M-M-M-M*-M-M-M-M*-M-M-M-M-,28.0,6.0,28.0,hybrid,non_gated,,bfloat16,16.0,available,,f428df0ec725fed457b89cfca54dc26500fb88c1,60a50058d081e9970fe7b3543bc8c37ab4f83ac5b3cb4ebd62f142414164aa3f,unavailable
nvidia/NVIDIA-Nemotron-Nano-9B-v2,hybrid_mamba_transformer,9.0,9.0,bfloat16,16,9000000000.0,9000000000.0,nemotron_h,NemotronHForCausalLM,56.0,4480.0,15680.0,40.0,8.0,131072.0,131072.0,,,,,,,,80.0,128.0,128.0,,,128.0,,,M-M-M-MM-M-M-M*-M-M-M*-M-M-M-M*-M-M-M-M*-M-MM-M-M-M-M-M-,27.0,4.0,25.0,hybrid,non_gated,,bfloat16,16.0,available,,6533e8de2c68e4536bf7c411d7a3ce5734111476,642dc554a725ea216be55c3018d0a6f3dc9963b24779c3cc97f5a0ea21e9dcc3,unavailable
openai/gpt-oss-120b,mixture_of_experts,117.0,5.0,mxfp4,4,117000000000.0,5000000000.0,gpt_oss,GptOssForCausalLM,36.0,2880.0,2880.0,64.0,8.0,201088.0,131072.0,128.0,2880.0,,,,,,,,,128.0,4.0,64.0,0.0,36.0,,,,,gqa,gated,mxfp4,,,available,,b5c939de8f754692c1647ca79fbf85e8c1e70f8a,933aeb666a3fd851133ddd7686414f369bc564c4185fb5704416550879f10566,available
openai/gpt-oss-20b,mixture_of_experts,21.0,4.0,mxfp4,4,21000000000.0,4000000000.0,gpt_oss,GptOssForCausalLM,24.0,2880.0,2880.0,64.0,8.0,201088.0,131072.0,128.0,2880.0,,,,,,,,,32.0,4.0,64.0,0.0,24.0,,,,,gqa,gated,mxfp4,,,available,,6cee5e81ee83917806bbde320786a8fb61efebee,3a2a26ded679375b7928ddeca59764df7cea83220c1961035f6d6e232659e9ce,available
