model_id,canonical_field,source_field,raw_value,transform,status,reason
Qwen/Qwen3-235B-A22B-Instruct-2507,moe_intermediate_size,config.moe_intermediate_size,1536,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,shared_expert_count,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,shared_expert_intermediate_size,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,qk_nope_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,qk_rope_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,v_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,mamba_head_dim,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,mamba_num_heads,,,identity,missing,source field absent
Qwen/Qwen3-235B-A22B-Instruct-2507,mamba_state_size,,,identity,missing,no Mamba state-size field
Qwen/Qwen3-235B-A22B-Instruct-2507,expert_count,config.num_experts,128,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,active_expert_count,config.num_experts_per_tok,8,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,head_dim,config.head_dim,128,identity,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,dense_layer_count,benchmark.architecture + config.num_hidden_layers,"{""architecture"": ""MoE"", ""num_hidden_layers"": 94}",architecture-specific layer split,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,moe_layer_count,benchmark.architecture + config.num_hidden_layers,"{""architecture"": ""MoE"", ""num_hidden_layers"": 94}",architecture-specific layer split,available,
Qwen/Qwen3-235B-A22B-Instruct-2507,hybrid_pattern,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-235B-A22B-Instruct-2507,hybrid_mamba_layer_count,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-235B-A22B-Instruct-2507,hybrid_attention_layer_count,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-235B-A22B-Instruct-2507,hybrid_mlp_layer_count,,,identity,missing,not a declared hybrid pattern
